Time_UTCG,SatId,FrontId,FrontRangeKm,BackId,BackRangeKm,LeftId,LeftRangeKm,LeftChanged,RightId,RightRangeKm,RightChanged
'15 Dec 2025 00:00:00.000,Sat_1_1,Sat_1_2,3316.023416860415,Sat_1_13,3316.0234168604143,Sat_15_2,2724.804283107411,0,Sat_2_13,2285.671495361674,0
'15 Dec 2025 01:00:00.000,Sat_1_1,Sat_1_2,3316.0234168604056,Sat_1_13,3316.0234168604143,Sat_15_2,1945.2689323167722,0,Sat_2_13,1792.6816381027786,0
'15 Dec 2025 02:00:00.000,Sat_1_1,Sat_1_2,3316.0234168604056,Sat_1_13,3316.023416860415,Sat_15_2,1676.872040845009,0,Sat_2_13,228.9117193287639,0
'15 Dec 2025 03:00:00.000,Sat_1_1,Sat_1_2,3316.023416860391,Sat_1_13,3316.0234168604143,Sat_15_1,2425.0134356568597,1,Sat_2_13,1498.242565543726,0
'15 Dec 2025 04:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603915,Sat_1_13,3316.0234168604143,Sat_15_2,2695.9124296873115,1,Sat_2_13,2297.8251973638316,0
'15 Dec 2025 05:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603947,Sat_1_13,3316.023416860415,Sat_15_2,1878.2687036468799,0,Sat_2_13,1706.8019256812572,0
'15 Dec 2025 06:00:00.000,Sat_1_1,Sat_1_2,3316.023416860366,Sat_1_13,3316.0234168604143,Sat_15_2,1727.2064315281982,0,Sat_2_13,118.20259714721632,0
'15 Dec 2025 07:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603693,Sat_1_13,3316.0234168604143,Sat_15_1,2486.313296042645,1,Sat_2_13,1596.0810423804048,0
'15 Dec 2025 08:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603683,Sat_1_13,3316.0234168604143,Sat_15_2,2661.2854511687115,1,Sat_2_13,2302.395408386232,0
'15 Dec 2025 09:00:00.000,Sat_1_1,Sat_1_2,3316.023416860365,Sat_1_13,3316.0234168604143,Sat_15_2,1814.4504638840526,0,Sat_2_13,1615.3080934193504,0
'15 Dec 2025 10:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603693,Sat_1_13,3316.0234168604143,Sat_15_1,1764.8067690411674,1,Sat_2_13,102.08870518119089,0
'15 Dec 2025 11:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603674,Sat_1_13,3316.023416860414,Sat_15_1,2544.7649957053136,0,Sat_2_13,1688.6773954112539,0
'15 Dec 2025 12:00:00.000,Sat_1_1,Sat_1_2,3316.0234168603192,Sat_1_13,3316.0234168604134,Sat_15_2,2621.163493029973,1,Sat_2_13,2299.366957634306,0
