Node Name(节点名称),Node IP(节点IP),Network Card(网卡),Time(时间)(YYYY-MM-DD HH:MM:SS),Outbound Traffic Rate(出流量速率)(B/s)
k8s-worker11,10.1.1.10,cni0,2026-01-15 15:27:16,526.4777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 16:27:16,533.1925925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 17:27:16,529.8148148148148 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 18:27:16,531.2296296296297 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 19:27:16,529.6037037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 20:27:16,517.5296296296297 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 21:27:16,529.8666666666667 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 22:27:16,521.0740740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 23:27:16,516.6925925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 00:27:16,521.9278589920702 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 01:27:16,523.4777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 02:27:16,527.9148148148148 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 03:27:16,522.4185185185186 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 04:27:16,525.1518518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 05:27:16,526.0592592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 06:27:16,524.9165743830579 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 07:27:16,527.6019540813113 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 08:27:16,526.4777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 09:27:16,525.862962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 10:27:16,520.5481481481481 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 11:27:16,524.4 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 12:27:16,520.9777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 13:27:16,525.3871310634484 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 14:27:16,526.8592592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 15:27:16,530.7592592592592 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 16:27:16,533.4629629629629 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 17:27:16,526.7370370370371 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 18:27:16,522.8555555555556 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 19:27:16,513.4555555555555 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 20:27:16,525.7370370370371 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 21:27:16,517.0296296296297 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 22:27:16,533.4296296296296 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 23:27:16,534.78320450665 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 00:27:16,527.5795274832316 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 01:27:16,518.716735987911 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 02:27:16,525.3444444444444 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 03:27:16,529.5832237658379 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 04:27:16,519.9111111111112 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 05:27:16,519.6444444444445 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 06:27:16,533.8814814814815 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 07:27:16,531.937037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 08:27:16,531.9555555555555 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 09:27:16,531.5350683886356 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 10:27:16,525.8888888888889 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 11:27:16,531.6427097878139 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 12:27:16,535.4481481481482 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 13:27:16,1874.847684621054 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 14:27:16,531.9925925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 15:27:16,529.0575150278333 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 16:27:16,524.7054640538369 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 17:27:16,526.7538027918621 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 18:27:16,522.1462142732805 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 19:27:16,535.9777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 20:27:16,530.2518518518518 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 21:27:16,534.0592592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 22:27:16,530.0111111111112 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 23:27:16,531.4925925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 00:27:16,524.9647223528802 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 01:27:16,528.738782448954 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 02:27:16,1868.1967844563542 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 03:27:16,1869.092107748547 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 04:27:16,525.9908370031 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 05:27:16,530.362962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 06:27:16,534.616794877018 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 07:27:16,527.6463986903655 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 08:27:16,524.8499079633038 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 09:27:16,531.1646993900023 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 10:27:16,532.2017325861757 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 11:27:16,534.2333333333333 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 12:27:16,532.6239532446177 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 13:27:16,527.5758237932453 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 14:27:16,530.5777777777778 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 15:27:16,530.0037037037038 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 16:27:16,539.425925925926 B/s
