Node Name,Node IP,Network Card,Time(YYYY-MM-DD HH:MM:SS),Inbound Traffic Rate(B/s)
k8s-worker11,10.1.1.10,cni0,2026-01-15 15:27:16,6481.981481481482 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 16:27:16,6483.5259259259265 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 17:27:16,6487.588888888889 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 18:27:16,6482.940740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 19:27:16,6481.492592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 20:27:16,6481.188888888889 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 21:27:16,6485.703703703704 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 22:27:16,6480.944444444444 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-15 23:27:16,6480.651851851852 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 00:27:16,6483.390679224737 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 01:27:16,6482 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 02:27:16,6489.444444444444 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 03:27:16,6478.72962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 04:27:16,6481.874074074074 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 05:27:16,6482.37037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 06:27:16,6487.4796760012005 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 07:27:16,6484.124015274129 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 08:27:16,6484.011111111111 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 09:27:16,6479.733333333334 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 10:27:16,6481.714814814815 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 11:27:16,6483.507407407407 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 12:27:16,6480.155555555556 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 13:27:16,6481.6165985799935 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 14:27:16,6486.718518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 15:27:16,6486.325925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 16:27:16,6483.148148148149 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 17:27:16,6484.088888888889 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 18:27:16,6482.062962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 19:27:16,6479.951851851853 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 20:27:16,6487.218518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 21:27:16,6480.603703703704 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 22:27:16,6487.62962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-16 23:27:16,6486.424124355096 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 00:27:16,6485.879681927105 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-17 01:27:16,6480.242519416738 B/s
