时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 19:22:59.486,1248239616,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16251373291016,1190.4140625,,,,
2026-01-08 20:22:59.486,1254436864,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16828536987305,1196.32421875,,,,
2026-01-08 21:22:59.486,1254764544,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.1685905456543,1196.63671875,,,,
2026-01-08 22:22:59.486,1254793216,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16861724853516,1196.6640625,,,,
2026-01-08 23:22:59.486,1250041856,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16419219970703,1192.1328125,,,,
2026-01-09 00:22:59.486,1265238016,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.1783447265625,1206.625,,,,
2026-01-09 01:22:59.486,1258348544,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.17192840576172,1200.0546875,,,,
2026-01-09 02:22:59.486,1248161792,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16244125366211,1190.33984375,,,,
2026-01-09 03:22:59.486,1257099264,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.1707649230957,1198.86328125,,,,
2026-01-09 04:22:59.486,1252491264,内存使用量,10.1.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,1.16647338867187,1194.46875,,,,
