时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 19:22:59.486,0.0274089726863988,容器CPU使用率,,0.0274089726863988,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-08 20:22:59.486,0.0267883528300193,容器CPU使用率,,0.0267883528300193,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-08 21:22:59.486,0.026841854187317,容器CPU使用率,,0.026841854187317,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-08 22:22:59.486,0.0276161963523105,容器CPU使用率,,0.0276161963523105,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-08 23:22:59.486,0.0268975960494379,容器CPU使用率,,0.0268975960494379,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 00:22:59.486,0.0275080608280546,容器CPU使用率,,0.0275080608280546,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 01:22:59.486,0.0269579113020901,容器CPU使用率,,0.0269579113020901,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 02:22:59.486,0.0280072245419951,容器CPU使用率,,0.0280072245419951,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 03:22:59.486,0.0275365759245098,容器CPU使用率,,0.0275365759245098,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 04:22:59.486,0.0277514478931787,容器CPU使用率,,0.0277514478931787,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 05:22:59.486,0.0278599131250442,容器CPU使用率,,0.0278599131250442,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 06:22:59.486,0.0277099046020973,容器CPU使用率,,0.0277099046020973,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 07:22:59.486,0.0275274269487224,容器CPU使用率,,0.0275274269487224,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 08:22:59.486,0.0268201758995083,容器CPU使用率,,0.0268201758995083,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 09:22:59.486,0.0451965945397292,容器CPU使用率,,0.0451965945397292,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 10:22:59.486,0.00455093023477881,容器CPU使用率,,0.00455093023477881,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-09 11:22:59.486,0.00444002286503195,容器CPU使用率,,0.00444002286503195,%,,,,istio-system,grafana-7754cb9855-vqxnq,,,,,,,
2026-01-08 19:22:59.486,0.00478335862594666,容器CPU使用率,,0.00478335862594666,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-08 20:22:59.486,0.00444647539088183,容器CPU使用率,,0.00444647539088183,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-08 21:22:59.486,0.00544904250836793,容器CPU使用率,,0.00544904250836793,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-08 22:22:59.486,0.00464252817624428,容器CPU使用率,,0.00464252817624428,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-08 23:22:59.486,0.00478486338977806,容器CPU使用率,,0.00478486338977806,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 00:22:59.486,0.00472586338511045,容器CPU使用率,,0.00472586338511045,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 01:22:59.486,0.0054562684928465,容器CPU使用率,,0.0054562684928465,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 02:22:59.486,0.00470693334190925,容器CPU使用率,,0.00470693334190925,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 03:22:59.486,0.0049066713418343,容器CPU使用率,,0.0049066713418343,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 04:22:59.486,0.00478292330854468,容器CPU使用率,,0.00478292330854468,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 05:22:59.486,0.00479195001839108,容器CPU使用率,,0.00479195001839108,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 06:22:59.486,0.00497665587655632,容器CPU使用率,,0.00497665587655632,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 07:22:59.486,0.00481099975393435,容器CPU使用率,,0.00481099975393435,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 08:22:59.486,0.00485096806415199,容器CPU使用率,,0.00485096806415199,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
2026-01-09 09:22:59.486,0.00492370988051849,容器CPU使用率,,0.00492370988051849,%,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,,,,,,
