时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 19:22:59.486,259575808,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.241748809814453,247.55078125,,,,
2026-01-08 20:22:59.486,258445312,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.240695953369141,246.47265625,,,,
2026-01-08 21:22:59.486,257490944,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.23980712890625,245.5625,,,,
2026-01-08 22:22:59.486,258818048,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.241043090820312,246.828125,,,,
2026-01-08 23:22:59.486,261808128,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.243827819824219,249.6796875,,,,
2026-01-09 00:22:59.486,260132864,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.242267608642578,248.08203125,,,,
2026-01-09 01:22:59.486,260374528,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.24249267578125,248.3125,,,,
2026-01-09 02:22:59.486,263036928,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.244972229003906,250.8515625,,,,
2026-01-09 03:22:59.486,262397952,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.244377136230469,250.2421875,,,,
2026-01-09 04:22:59.486,261492736,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.243534088134766,249.37890625,,,,
2026-01-09 05:22:59.486,262152192,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.244148254394531,250.0078125,,,,
2026-01-09 06:22:59.486,262373376,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.244354248046875,250.21875,,,,
2026-01-09 07:22:59.486,259629056,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.241798400878906,247.6015625,,,,
2026-01-09 08:22:59.486,263327744,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.245243072509766,251.12890625,,,,
2026-01-09 09:22:59.486,258580480,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.240821838378906,246.6015625,,,,
2026-01-09 10:22:59.486,269336576,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.250839233398437,256.859375,,,,
2026-01-09 11:22:59.486,268554240,容器内存使用量,,,GB,,,,istio-system,grafana-7754cb9855-vqxnq,,0.250110626220703,256.11328125,,,,
2026-01-08 19:22:59.486,198098944,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184494018554687,188.921875,,,,
2026-01-08 20:22:59.486,197959680,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184364318847656,188.7890625,,,,
2026-01-08 21:22:59.486,198021120,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184421539306641,188.84765625,,,,
2026-01-08 22:22:59.486,197951488,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184356689453125,188.78125,,,,
2026-01-08 23:22:59.486,198123520,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184516906738281,188.9453125,,,,
2026-01-09 00:22:59.486,197681152,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184104919433594,188.5234375,,,,
2026-01-09 01:22:59.486,197910528,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184318542480469,188.7421875,,,,
2026-01-09 02:22:59.486,197861376,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184272766113281,188.6953125,,,,
2026-01-09 03:22:59.486,197853184,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.18426513671875,188.6875,,,,
2026-01-09 04:22:59.486,197951488,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184356689453125,188.78125,,,,
2026-01-09 05:22:59.486,197861376,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184272766113281,188.6953125,,,,
2026-01-09 06:22:59.486,198086656,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184482574462891,188.91015625,,,,
2026-01-09 07:22:59.486,197967872,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184371948242187,188.796875,,,,
2026-01-09 08:22:59.486,197951488,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184356689453125,188.78125,,,,
2026-01-09 09:22:59.486,198451200,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184822082519531,189.2578125,,,,
2026-01-09 10:22:59.486,199278592,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.185592651367187,190.046875,,,,
2026-01-09 11:22:59.486,198254592,容器内存使用量,,,GB,,,,istio-system,istio-egressgateway-55dd89bc54-wqwtj,,0.184638977050781,189.0703125,,,,
2026-01-08 19:22:59.486,138506240,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128993988037109,132.08984375,,,,
2026-01-08 20:22:59.486,138313728,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128814697265625,131.90625,,,,
2026-01-08 21:22:59.486,139120640,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.129566192626953,132.67578125,,,,
2026-01-08 22:22:59.486,138039296,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128559112548828,131.64453125,,,,
2026-01-08 23:22:59.486,138264576,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128768920898437,131.859375,,,,
2026-01-09 00:22:59.486,138387456,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128883361816406,131.9765625,,,,
2026-01-09 01:22:59.486,138436608,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128929138183594,132.0234375,,,,
2026-01-09 02:22:59.486,138051584,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128570556640625,131.65625,,,,
2026-01-09 03:22:59.486,138481664,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128971099853516,132.06640625,,,,
2026-01-09 04:22:59.486,138219520,容器内存使用量,,,GB,,,,istio-system,istio-ingressgateway-6d95b4778-46bxt,,0.128726959228516,131.81640625,,,,
