时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 19:22:59.486,524.974074074074,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000500654291223597
2026-01-08 20:22:59.486,518.233333333333,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000494225819905599
2026-01-08 21:22:59.486,823.310456705395,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000785170036988635
2026-01-08 22:22:59.486,513.233333333333,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000489457448323568
2026-01-08 23:22:59.486,834.811111111111,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000796137915717231
2026-01-09 00:22:59.486,526.22962962963,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000501851682309751
2026-01-09 01:22:59.486,536.611111111111,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000511752234564887
2026-01-09 02:22:59.486,528.076029911222,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000503612546836111
2026-01-09 03:22:59.486,527.042492435213,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000502626888690198
2026-01-09 04:22:59.486,533.166666666667,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000508467356363932
2026-01-09 05:22:59.486,532.844444444444,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000508160061306424
2026-01-09 06:22:59.486,527.574074074074,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000503133844446253
2026-01-09 07:22:59.486,519.659259259259,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000495585688838252
2026-01-09 08:22:59.486,1866.98888888889,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00178049935234918
2026-01-09 09:22:59.486,537.540740740741,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.000512638798466435
2026-01-09 10:22:59.486,1865.62222222222,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00177919599745009
2026-01-09 11:22:59.486,1869.57407407407,网络流出量,10.1.1.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-fphts,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00178296477706344
2026-01-08 19:22:59.486,1710.58781699191,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163134366702262
2026-01-08 20:22:59.486,1723.75555555556,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164390140109592
2026-01-08 21:22:59.486,1724.32592592593,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164444534866898
2026-01-08 22:22:59.486,1726.60740740741,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164662113896123
2026-01-08 23:22:59.486,1715.17777777778,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163572099473741
2026-01-09 00:22:59.486,1722.90472998248,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164308999059914
2026-01-09 01:22:59.486,1713.96296296296,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163456245704934
2026-01-09 02:22:59.486,1734.33703703704,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00165399268821434
2026-01-09 03:22:59.486,1725.38148148148,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164545200489186
2026-01-09 04:22:59.486,1719.417479324,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163976428921127
2026-01-09 05:22:59.486,1713.33703703704,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163396552756981
2026-01-09 06:22:59.486,1712.96189985889,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163360776887788
2026-01-09 07:22:59.486,1715.95185185185,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00163645920930085
2026-01-09 08:22:59.486,1724.40472442695,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164452049677558
2026-01-09 09:22:59.486,1720.47407407407,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00164077193648727
2026-01-09 10:22:59.486,1718.09154848722,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.0016384997830269
2026-01-09 11:22:59.486,1735.7454231651,网络流出量,10.1.2.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00165533582989225
2026-01-08 19:22:59.486,7690.38518518519,网络流出量,10.1.3.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00733412283438223
2026-01-08 20:22:59.486,7700.39259259259,网络流出量,10.1.3.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00734366664180049
2026-01-08 21:22:59.486,7695.86183652532,网络流出量,10.1.3.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00733934577610523
2026-01-08 22:22:59.486,7686.84930796553,网络流出量,10.1.3.10:9100,,MB/s,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,,,cni0,,,0.00733075075909188
